### Training datasets ###
Path, Frames
"1_high_temperature/10_ML/2_NPT_1600K/dpdata/train/raw/", 180 
"1_high_temperature/10_ML/3_NVT_1600K/dpdata/train/raw/", 180 
"1_high_temperature/11_ML/2_NPT_1600K/dpdata/train/raw/", 180 
"1_high_temperature/11_ML/3_NVT_1600K/dpdata/train/raw/", 180 
"1_high_temperature/11_ML/4_NVT_1600_3000K/dpdata/train/raw/", 180 
"1_high_temperature/11_ML/5_NPT_3000K/dpdata/train/raw/", 165 
"1_high_temperature/12_ML/4_NVT_1600_3000K/dpdata/train/raw/", 179 
"1_high_temperature/12_ML/5_NVT_3000K/dpdata/train/raw/", 179 
"1_high_temperature/12_ML/6_NPT_3000K/dpdata/train/raw/", 170 
"1_high_temperature/12_ML/7_NPT_1600_3000K/dpdata/train/raw/", 176 
"1_high_temperature/12_ML/8_NPT_1_10000bar/dpdata/train/raw/", 177 
"1_high_temperature/12_ML/9_NPT_3000K_10000bar/dpdata/train/raw/", 174 
"1_high_temperature/13_ML/5_NVT_3000K/dpdata/train/raw/", 178 
"1_high_temperature/13_ML/6_NPT_3000K/dpdata/train/raw/", 147 
"1_high_temperature/13_ML/7_NPT_1600_3000K/dpdata/train/raw/", 179 
"1_high_temperature/13_ML/8_NPT_1_10000bar/dpdata/train/raw/", 178 
"1_high_temperature/13_ML/9_NPT_3000K_10000bar/dpdata/train/raw/", 177 
"1_high_temperature/14_ML/5_NVT_3000K/dpdata/train/raw/", 175 
"1_high_temperature/14_ML/6_NPT_3000K/dpdata/train/raw/", 136 
"1_high_temperature/14_ML/7_NPT_1600_3000K/dpdata/train/raw/", 172 
"1_high_temperature/14_ML/8_NPT_1_10000bar/dpdata/train/raw/", 175 
"1_high_temperature/14_ML/9_NPT_3000K_10000bar/dpdata/train/raw/", 178 
"1_high_temperature/15_ML/5_NVT_3000K/dpdata/train/raw/", 177 
"1_high_temperature/15_ML/7_NPT_1600_3000K/dpdata/train/raw/", 172 
"1_high_temperature/15_ML/9_NPT_3000K_10000bar/dpdata/train/raw/", 175 
"1_high_temperature/16_ML/7_NPT_1600_3000K/dpdata/train/raw/", 172 
"1_high_temperature/16_ML/9_NPT_3000K_10000bar/dpdata/train/raw/", 180 
"1_high_temperature/6_ML/1_NVT/dpdata/train/raw/", 180 
"2_high_pressure/14_ML/4_NPT_1bar_1GPa_300K/dpdata/train/raw/", 180 
"2_high_pressure/14_ML/5_NPT_1GPa_300K/dpdata/train/raw/", 180 
"2_high_pressure/14_ML/6_NPT_1GPa_50GPa_300K/dpdata/train/raw/", 178 
"2_high_pressure/14_ML/7_NPT_50GPa_300K/dpdata/train/raw/", 62 
"2_high_pressure/16_ML/5_NPT_1GPa_300K/dpdata/train/raw/", 180 
